Debug playlist owners for account: Sanath Kumar N (id: 313tg2pftdoulzdr7eoklsdbtmo4)
Total playlists returned by API: 90

idx  tracks  is_owner  owner_id                              owner_display_name                        playlist_name
--------------------------------------------------------------------------------------------------------------------------------------------
  1    146      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          folk - indie,country,rock,americana
  2    156      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Soul- Alt,vapour,retro, ambietronic
  3    145      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          indietronica & rock, dance/electronic
  4    247      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Indie - soul,pop,folk
  5    105      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Bedroom, Synth, dream- pop lo-fi, chillwave
  6    230      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Country blues,Classics and Rock
  7    195      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Rock,retro and classics
  8     81      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hard Rock,Light metal and punk
  9    226      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          bossbeat,Alt and modern Rock
 10    129      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Pop - mellow,soul,indie
 11    145      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Pop -dance,electro
 12    133      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hindustani,carnatic, instumental fusion
 13    113     False  '31hyx4yt2k5zpnzxc5rq6t5pkm6e'        'Andrew X'                                Synth City: Night Rider 
 14     39      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hindi slow and instrumental
 15    159      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Modern Bollywood and Filmi
 16    145      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          90 & 00's Bollywood ❤️
 17    121      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hindi pop and Indie
 18    135      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          hindi indie
 19    113      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Desi Rap
 20    106      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Desi hiphop
 21     45      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Kannada classics
 22     94      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Kannada melodies
 23     68      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Kannada slow and instrumental
 24    111     False  'cepiujwnd2kmydwh4s60rxp2z'           'Raghav Meattle'                          Heartbreak Hindi
 25     83      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Kannada old and mixed
 26     62      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Alt/Indie fusion Southside
 27     82      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Southside Accoustic and vocal
 28     63      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Southside mass
 29    132      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Southside melodies
 30     27      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hood love
 31     79      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          R&B
 32     84      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          New school Rap
 33    127      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Old school Rap
 34    135      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hip hop
 35    125      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Hip Hop  2
 36    128      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          80,90's English
 37    122      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          80' & 90's Hindi
 38     39      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          80' & 90's kannada
 39    112      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Emo/slow
 40     73      True  '313tg2pftdoulzdr7eoklsdbtmo4'        'Sanath Kumar N'                          Heartbreak and healing
 41     12     False  '31nimu4lpbzh2oqltyusdddjd2ky'        'Kiran Kathiresan'                        Sapta Sagaradaache Ello - Side A/B
 42    299     False  '21qsx6rkraelpns46mg4gb74i'           'Will Taylor'                             Will Taylor Chess
 43    194     False  'electroposé'                         'Electro Posé'                            Chill  Vibes 2025 🌙
